Algorithm,Input,Output,Packet
doubleWire,1,1,37667
doubleWire,1,2,23184
doubleWire,1,3,66784
doubleWire,1,4,37784
doubleWire,1,5,37664
doubleWire,1,6,76678
doubleWire,1,7,80000
doubleWire,1,8,99999
doubleWire,2,1,37667
doubleWire,2,2,23184
doubleWire,2,3,66784
doubleWire,2,4,37784
doubleWire,2,5,37664
doubleWire,2,6,76678
doubleWire,2,7,80000
doubleWire,2,8,99999
doubleWire,3,1,37667
doubleWire,3,2,23184
doubleWire,3,3,66784
doubleWire,3,4,37784
doubleWire,3,5,37664
doubleWire,3,6,76678
doubleWire,3,7,80000
doubleWire,3,8,99999
doubleWire,4,1,37667
doubleWire,4,2,23184
doubleWire,4,3,66784
doubleWire,4,4,37784
doubleWire,4,5,37664
doubleWire,4,6,76678
doubleWire,4,7,80000
doubleWire,4,8,99999
doubleWire,5,1,37667
doubleWire,5,2,23184
doubleWire,5,3,66784
doubleWire,5,4,37784
doubleWire,5,5,37664
doubleWire,5,6,76678
doubleWire,5,7,80000
doubleWire,5,8,99999
doubleWire,6,1,37667
doubleWire,6,2,23184
doubleWire,6,3,66784
doubleWire,6,4,37784
doubleWire,6,5,37664
doubleWire,6,6,76678
doubleWire,6,7,80000
doubleWire,6,8,99999
doubleWire,7,1,37667
doubleWire,7,2,23184
doubleWire,7,3,66784
doubleWire,7,4,37784
doubleWire,7,5,37664
doubleWire,7,6,76678
doubleWire,7,7,80000
doubleWire,7,8,99999
doubleWire,8,1,37667
doubleWire,8,2,23184
doubleWire,8,3,66784
doubleWire,8,4,37784
doubleWire,8,5,37664
doubleWire,8,6,76678
doubleWire,8,7,80000
doubleWire,8,8,99999